,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
133,IndiGo,BOM,BLR,7h 05m,1 stop,2024-06-23,12:00,19:05,"₹ 9,252"
134,IndiGo,BOM,BLR,7h 20m,1 stop,2024-06-23,16:45,00:05+1,"₹ 9,768"
135,IndiGo,BOM,BLR,6h 20m,1 stop,2024-06-23,14:00,20:20,"₹ 9,961"
136,Air India,BOM,BLR,7h 20m,1 stop,2024-06-23,15:00,22:20,"₹ 10,140"
137,Vistara,BOM,BLR,6h 35m,1 stop,2024-06-23,09:40,16:15,"₹ 10,276"
138,IndiGo,BOM,BLR,4h 05m,1 stop,2024-06-23,14:00,18:05,"₹ 11,046"
139,IndiGo,BOM,BLR,6h 10m,1 stop,2024-06-23,17:40,23:50,"₹ 12,727"
140,IndiGo,BOM,BLR,4h 30m,1 stop,2024-06-23,11:25,15:55,"₹ 12,792"
141,IndiGo,BOM,BLR,4h 00m,1 stop,2024-06-23,19:05,23:05,"₹ 13,887"
142,IndiGo,BOM,BLR,5h 00m,1 stop,2024-06-23,16:45,21:45,"₹ 13,944"
143,IndiGo,BOM,BLR,4h 10m,1 stop,2024-06-23,14:15,18:25,"₹ 14,415"
144,IndiGo,BOM,BLR,5h 15m,1 stop,2024-06-23,10:35,15:50,"₹ 15,192"
145,IndiGo,BOM,BLR,4h 10m,1 stop,2024-06-23,14:45,18:55,"₹ 17,119"
146,Vistara,BOM,BLR,4h 30m,1 stop,2024-06-23,11:25,15:55,"₹ 17,267"
147,Air India,BOM,BLR,1h 45m,direct,2024-06-23,21:10,22:55,"₹ 20,089"
148,Air India,BOM,BLR,1h 50m,direct,2024-06-23,16:40,18:30,"₹ 20,089"
149,Air India,BOM,BLR,1h 50m,direct,2024-06-23,18:50,20:40,"₹ 20,089"
150,Air India,BOM,BLR,1h 50m,direct,2024-06-23,09:25,11:15,"₹ 20,089"
151,Air India,BOM,BLR,7h 25m,1 stop,2024-06-23,11:15,18:40,"₹ 18,070"
152,Air India,BOM,BLR,7h 10m,1 stop,2024-06-23,13:00,20:10,"₹ 18,825"
153,IndiGo,BOM,BLR,5h 00m,1 stop,2024-06-23,10:15,15:15,"₹ 19,103"
154,Air India,BOM,BLR,6h 30m,1 stop,2024-06-23,15:35,22:05,"₹ 19,328"
155,Air India,BOM,BLR,4h 25m,direct,2024-06-23,10:05,14:30,"₹ 20,089"
156,Vistara,BOM,BLR,5h 00m,1 stop,2024-06-23,15:05,20:05,"₹ 20,310"
157,Air India,BOM,BLR,6h 10m,1 stop,2024-06-23,10:15,16:25,"₹ 20,706"
158,Air India,BOM,BLR,6h 05m,1 stop,2024-06-23,18:00,00:05+1,"₹ 20,927"
159,Vistara,BOM,BLR,6h 05m,1 stop,2024-06-23,17:25,23:30,"₹ 21,456"
160,Vistara,BOM,BLR,6h 25m,1 stop,2024-06-23,12:10,18:35,"₹ 23,723"
161,Vistara,BOM,BLR,6h 10m,1 stop,2024-06-23,12:35,18:45,"₹ 25,215"
162,Vistara,BOM,BLR,6h 55m,1 stop,2024-06-23,15:45,22:40,"₹ 27,801"
163,"Air India, Vistara",BOM,BLR,6h 55m,1 stop,2024-06-23,13:35,20:30,"₹ 43,698"
164,"Vistara, Air India",BOM,BLR,6h 45m,1 stop,2024-06-23,15:35,22:20,"₹ 46,302"
165,"Vistara, Air India",BOM,BLR,7h 35m,1 stop,2024-06-23,22:50,06:25+1,"₹ 47,862"
166,"Air India, Vistara",BOM,BLR,4h 45m,1 stop,2024-06-23,17:15,22:00,"₹ 57,300"
167,"Air India, Vistara",BOM,BLR,4h 35m,1 stop,2024-06-23,15:30,20:05,"₹ 57,700"
168,"Vistara, Air India",BOM,BLR,6h 05m,1 stop,2024-06-23,12:35,18:40,"₹ 77,274"
169,"Vistara, Air India",BOM,BLR,6h 20m,1 stop,2024-06-23,15:45,22:05,"₹ 77,274"
170,"Vistara, Air India",BOM,BLR,6h 40m,1 stop,2024-06-23,17:25,00:05+1,"₹ 77,274"
171,"Vistara, Air India",BOM,BLR,7h 35m,1 stop,2024-06-23,12:35,20:10,"₹ 77,274"
172,"Vistara, Air India",BOM,BLR,7h 25m,1 stop,2024-06-23,14:40,22:05,"₹ 80,110"
173,Air India,BOM,AMD,1h 10m,direct,2024-06-23,07:30,08:40,"₹ 2,405"
174,IndiGo,BOM,AMD,1h 15m,direct,2024-06-23,08:20,09:35,"₹ 3,300"
175,Air India,BOM,AMD,1h 15m,direct,2024-06-23,18:35,19:50,"₹ 3,649"
176,Akasa Air,BOM,AMD,1h 20m,direct,2024-06-23,20:30,21:50,"₹ 3,449"
177,Air India,BOM,AMD,1h 20m,direct,2024-06-23,15:30,16:50,"₹ 3,649"
178,IndiGo,BOM,AMD,1h 10m,direct,2024-06-23,20:00,21:10,"₹ 3,895"
179,IndiGo,BOM,AMD,1h 20m,direct,2024-06-23,16:50,18:10,"₹ 4,044"
180,Vistara,BOM,AMD,1h 10m,direct,2024-06-23,22:45,23:55,"₹ 4,102"
181,IndiGo,BOM,AMD,1h 10m,direct,2024-06-23,15:15,16:25,"₹ 4,541"
182,IndiGo,BOM,AMD,1h 15m,direct,2024-06-23,18:25,19:40,"₹ 5,056"
183,IndiGo,BOM,AMD,1h 15m,direct,2024-06-23,21:25,22:40,"₹ 3,895"
184,Vistara,BOM,AMD,1h 40m,direct,2024-06-23,15:05,16:45,"₹ 11,238"
185,Vistara,BOM,AMD,4h 25m,1 stop,2024-06-23,18:30,22:55,"₹ 12,380"
186,Vistara,BOM,AMD,5h 30m,1 stop,2024-06-23,17:25,22:55,"₹ 13,640"
187,Vistara,BOM,AMD,4h 55m,1 stop,2024-06-23,14:40,19:35,"₹ 16,136"
188,Vistara,BOM,AMD,5h 45m,1 stop,2024-06-23,17:30,23:15,"₹ 18,228"
189,Vistara,BOM,AMD,5h 30m,1 stop,2024-06-23,11:25,16:55,"₹ 19,533"
190,Air India,BOM,AMD,4h 55m,1 stop,2024-06-23,13:00,17:55,"₹ 23,405"
191,Air India,BOM,AMD,5h 20m,1 stop,2024-06-23,16:00,21:20,"₹ 23,623"
192,Air India,BOM,AMD,5h 45m,1 stop,2024-06-23,15:35,21:20,"₹ 25,552"
193,"Vistara, Air India",BOM,AMD,4h 50m,1 stop,2024-06-23,17:25,22:15,"₹ 62,259"
194,"Vistara, Air India",BOM,AMD,5h 20m,1 stop,2024-06-23,12:35,17:55,"₹ 62,259"
195,"Vistara, Air India",BOM,AMD,5h 35m,1 stop,2024-06-23,15:45,21:20,"₹ 62,259"
196,"Air India, Vistara",BOM,AMD,4h 55m,1 stop,2024-06-23,18:00,22:55,"₹ 64,735"
197,"Air India, Vistara",BOM,AMD,4h 45m,1 stop,2024-06-23,10:15,15:00,"₹ 65,725"
198,Akasa Air,BOM,HYD,1h 40m,direct,2024-06-23,18:50,20:30,"₹ 3,085"
199,Air India,BOM,HYD,1h 30m,direct,2024-06-23,19:55,21:25,"₹ 3,531"
200,IndiGo,BOM,HYD,1h 20m,direct,2024-06-23,19:15,20:35,"₹ 4,150"
